address,latitude,longitude,name
210 N 1st Ave,40.55842,-90.03364,Burger King
638 N Main St,40.563491,-90.035021,Hardee's
810 E Broadway,38.52638,-89.12477,McDonald's
600 S Newport Rd,40.87296,-88.66152,Burger King
1600 W Reynolds St,40.87297,-88.65759,Taco Bell
1396 E Main St,37.73535,-89.18663,McDonald's
4601 Broadway St,38.313427,-88.945891,Burger King
1700 S 10th St,38.30087,-88.903,Burger King
3120 James Sanders Blvd,37.079123,-88.683966,Taco Bell
1440 Columbus St,41.354618,-88.8412,Wendy's
5139 Hinkleville Rd,37.07607,-88.68939,Wendy's
885 E Il Route 38,41.93507,-89.03496,Wendy's
328 E Morton Ave,39.723221,-90.225307,Jimmy John's
905 W Morton Ave,39.72263,-90.24358,Burger King
1690 E Jackson St Ste F,40.45991,-90.64454,Arby's
109 S Gilbert St,40.119324,-87.636202,McDonald's
15 W Fairchild St,40.138555,-87.630379,Hardee's
306 S Gilbert St,40.116181,-87.636225,Long John Silver's
2565 Hart St,38.65964,-87.50887,Arby's
639 N 13th St,40.834574,-84.937724,Taco Bell
1312 S 13th St,40.81476,-84.938277,Arby's
946 W Washington St,39.606653,-90.82158,Hardee's
705 W 7th St,41.366782,-85.065641,Penguin Point
450 W North St,41.452697,-85.273445,Arby's
120 W North St,41.452288,-85.267806,Wendy's
618 Fairview Blvd,41.45062,-85.24563,Burger King
211 W North St,41.452289,-85.268745,McDonald's
241 W US Highway 6,41.412,-85.5717,KFC
337 W Plaza Dr,41.169649,-85.493215,Taco Bell
9 Corvette Dr,39.17805,-89.67558,KFC
1502 W McClain Ave,38.6854,-85.7915,Wendy's
1205 W Weir St,39.178908,-89.667812,Wendy's
2 Ohren Dr,39.17838,-89.66894,McDonald's
1201 W Weir St,39.179074,-89.66839,Taco Bell
1 Corvette Dr,39.175855,-89.675151,Jack In The Box
2 Corvette Dr,39.17591,-89.675037,Burger King
105 E Trefz Dr,39.41753,-87.69207,Burger King
1069 Sagamore Pkwy W,40.45299,-86.92139,Burger King
3416 16th St,38.860945,-86.517296,Wendy's
3216 29th St,38.84594,-86.51478,Arby's
1804 N Wayne St,41.65625,-84.99869,Burger King
2601 16th St 270,38.86139,-86.50716,Burger King
613 Sagamore Pkwy W,40.45282,-86.91764,McDonald's
124 E State St,40.422445,-86.905196,McDonald's
409 N 13th St,40.832525,-84.937673,Wendy's
410 N 13th St,40.832543,-84.937674,McDonald's
334 N 13th St,40.831361,-84.937642,Burger King
1120 W 7th St,41.366735,-85.069754,Wendy's
111 Touring Dr,41.36617,-85.078917,Arby's
1126 W 7th St,41.367208,-85.07851,Taco Bell
1105 W 7th St,41.36617,-85.07562,Burger King
1801 N Broadway St,39.35524,-85.48443,Wendy's
1918 N Lincoln St,39.35504,-85.4791,Arby's
1903 N Lincoln St,39.354294,-85.479835,McDonald's
1005 N Baldwin Ave,40.56957,-85.6764,Arby's
1915 N Lincoln St,39.35539,-85.48033,Taco Bell
2015 N State Road 3 Byp,39.35639,-85.48142,Burger King
223 E Mcgalliard Rd,40.219001,-85.385252,Wendy's
1725 W Mcgalliard Rd,40.21857,-85.40705,Taco Bell
3301 N Chadam Ln,40.21853,-85.430862,McDonald's
601 S Tillotson Ave,40.18924,-85.4195,KFC
511 W McGalliard Rd,40.2184,-85.39187,Chick-fil-A
3413 S Main St,41.649018,-85.93835,Burger King
416 N Michigan St,41.68069,-86.250378,McDonald's
652 Spruce St,41.984592,-86.12269,McDonald's
1595 S Memorial Dr,39.9171,-85.384,KFC
9229 W County Road 650 S,39.842311,-85.558075,Burger King
1400 North Market Street,38.140063,-89.702961,Taco Bell
1515 E National Hwy,38.65292,-87.1564,Taco Bell
210 E National Hwy,38.652427,-87.173223,Wendy's
1447 E National Hwy,38.6525,-87.159,KFC
129 S Memorial Dr,39.9293,-85.3822,Hardee's
1906 N Walnut St,40.46702,-85.36996,KFC
1903 N Walnut St,40.474987,-85.370014,McDonald's
2003 N Walnut St,40.46784,-85.37071,Burger King
450 S US Highway 231,38.39,-86.94046,McDonald's
762 W 2nd St,38.388536,-86.94134,Hardee's
4130 N Newton St,38.429209,-86.937962,McDonald's
3592 Newton St,38.42206,-86.93746,Taco Bell
3739 Newton St,38.4243,-86.9384,Arby's
3565 Newton St,38.421469,-86.937959,Wendy's
1209 N Main St,38.30632,-86.955407,Wendy's
1328 South Heaton,41.285035,-86.621124,Taco Bell
806 S Heaton St,41.28997,-86.620692,Burger King
1411 S Heaton St,41.283913,-86.620656,McDonald's
515 E Alto Rd,40.440727,-86.125661,McDonald's
103 Frontage Rd,40.899199,-85.510062,Wendy's
2702 Guilford St,40.89996,-85.50649,Arby's
